Fonte;OFFCod;OFFEscopo;SomaDeHorasApontadas;Andrea_DEPARTAMENTO.Descricao;QuantidadePedida;TipodeProduto;PRODUTOS.Codigo;Produto.Nome;ITENS.Codigo;ITENS.Descricao;Poder Linear;Poder Z;Capacidade(TSS/D);Cap Normal Linear;Cap Normal Z;Evaporacao(T/H);Evap Normal Linear;Evap Normal Z
PropostaAjustada;66;1 x WHB + SH + ECO;4030;CONFORMACAO;1;Caldeira;16;CALDEIRA DE RECUPERACAO DE CALOR, HRSG;1123;;;;;;;;;
PropostaAjustada;66;1 x WHB + SH + ECO;66;CONFORMACAO;1;Caldeira;16;CALDEIRA DE RECUPERACAO DE CALOR, HRSG;1124;;;;;;;;;
PropostaAjustada;66;1 x WHB + SH + ECO;2970;CONFORMACAO;1;Caldeira;16;CALDEIRA DE RECUPERACAO DE CALOR, HRSG;1132;;;;;;;;;
PropostaAjustada;71;2 x CALDEIRAS 250 T/H;27027;CONFORMACAO;2;Caldeira;15;CALDEIRA PARA QUEIMA DE OLEO E GAS;1132;;66;156;;;;250;1;2
PropostaAjustada;115;1 X CALDEIRA 180 T/H;48;CONFORMACAO;1;Caldeira;16;CALDEIRA DE RECUPERACAO DE CALOR, HRSG;1124;;46;59;;;;180;0;1
PropostaAjustada;115;1 X CALDEIRA 180 T/H;1775;CONFORMACAO;1;Caldeira;16;CALDEIRA DE RECUPERACAO DE CALOR, HRSG;1132;;46;59;;;;180;0;1
PropostaAjustada;117;UP-GRADE RB-2;14;CONFORMACAO;1;Caldeira;14;CALDEIRA DE RECUPERACAO QUIMICA;1121;;;;;;;;;
PropostaAjustada;117;UP-GRADE RB-2;41;CONFORMACAO;1;Caldeira;14;CALDEIRA DE RECUPERACAO QUIMICA;1122;;;;;;;;;
PropostaAjustada;117;UP-GRADE RB-2;128;CONFORMACAO;1;Caldeira;14;CALDEIRA DE RECUPERACAO QUIMICA;1124;;;;;;;;;
PropostaAjustada;117;UP-GRADE RB-2;17;CONFORMACAO;1;Caldeira;14;CALDEIRA DE RECUPERACAO QUIMICA;1131;;;;;;;;;
PropostaAjustada;117;UP-GRADE RB-2;371;CONFORMACAO;1;Caldeira;14;CALDEIRA DE RECUPERACAO QUIMICA;1132;;;;;;;;;
PropostaAjustada;117;UP-GRADE RB-2;33;CONFORMACAO;1;Caldeira;14;CALDEIRA DE RECUPERACAO QUIMICA;1134;;;;;;;;;
PropostaAjustada;132;UP GRADE CRU;82;CONFORMACAO;1;Caldeira;14;CALDEIRA DE RECUPERACAO QUIMICA;1121;;;;;;;;;
PropostaAjustada;132;UP GRADE CRU;96;CONFORMACAO;1;Caldeira;14;CALDEIRA DE RECUPERACAO QUIMICA;1122;;;;;;;;;
