iter	RMSE
0	20338.7844
1	19996.74271
2	19729.44084
3	19444.69603
4	19120.29433
5	18866.64158
6	18638.39673
7	18398.58767
8	18101.63415
9	17811.95052
10	17529.39842
11	17345.53573
12	17101.51004
13	16908.37417
14	16647.70784
15	16401.07539
16	16157.28076
17	15944.9253
18	15752.59552
19	15561.75738
20	15383.0122
21	15186.02011
22	14988.61593
23	14800.06712
24	14585.86706
25	14405.66951
26	14250.73633
27	14114.43898
28	13962.42258
29	13802.83991
30	13608.83618
31	13529.66856
32	13377.3258
33	13241.95355
34	13080.38648
35	12929.68482
36	12815.19635
37	12639.92765
38	12492.14962
39	12348.96403
40	12238.95436
41	12097.21386
42	11985.36051
43	11852.79464
44	11704.95505
45	11553.40138
46	11407.50728
47	11294.65012
48	11174.11009
49	11080.34922
50	10984.91728
51	10869.0971
52	10805.81589
53	10696.4697
54	10576.88128
55	10497.55798
56	10383.70809
57	10289.47674
58	10190.44502
59	10090.606
60	10007.95329
61	9914.290903
62	9853.114808
63	9765.564099
64	9657.158003
65	9573.145658
66	9477.962882
67	9410.226189
68	9305.903853
69	9220.180049
70	9150.65055
71	9064.245179
72	8983.702299
73	8895.441931
74	8819.792526
75	8729.757855
76	8654.769162
77	8566.87446
78	8520.005087
79	8471.652311
80	8405.893933
81	8355.86099
82	8301.017003
83	8236.234185
84	8179.294915
85	8112.380571
86	8047.763432
87	7980.852766
88	7943.825451
89	7895.521486
90	7855.324475
91	7798.384501
92	7736.53352
93	7692.681992
94	7646.495593
95	7593.894412
96	7539.499676
97	7494.720739
98	7468.606738
99	7405.174388
100	7351.833993
101	7335.671025
102	7295.067092
103	7238.084679
104	7193.611899
105	7146.936288
106	7094.510132
107	7057.560584
108	7011.912094
109	6969.867533
110	6931.323703
111	6889.469954
112	6846.036676
113	6811.093623
114	6765.352499
115	6728.475677
116	6686.854665
117	6637.735058
118	6595.845768
119	6583.212487
120	6547.885982
121	6507.142869
122	6468.628621
123	6440.048088
124	6406.661921
125	6363.818988
126	6349.757206
127	6319.170744
128	6290.320524
129	6260.705374
130	6236.568452
131	6199.605842
132	6167.994401
133	6125.23846
134	6088.180676
135	6057.57477
136	6023.999998
137	5991.72043
138	5976.169939
139	5948.08155
140	5917.803355
141	5888.892054
142	5854.048319
143	5817.764329
144	5787.266543
145	5771.214147
146	5760.004677
147	5731.940707
148	5698.99822
149	5670.34544
150	5632.100971
151	5604.829877
152	5577.253892
153	5556.266507
154	5526.49138
155	5504.410477
156	5479.671361
157	5450.390144
158	5416.86922
159	5395.273194
160	5379.788774
161	5353.119266
162	5348.012164
163	5316.090683
164	5293.311105
165	5269.337573
166	5248.876362
167	5221.391531
168	5192.740713
169	5168.353769
170	5138.344923
171	5114.833739
172	5089.094462
173	5072.918197
174	5048.844314
175	5023.968187
176	4997.291105
177	4976.339868
178	4959.171592
179	4931.559386
180	4910.12501
181	4885.110815
182	4864.510643
183	4842.589866
184	4823.918376
185	4799.99296
186	4773.692693
187	4747.775418
188	4723.47249
189	4702.774247
190	4680.039675
191	4657.339405
192	4626.08514
193	4601.710932
194	4582.919878
195	4558.820302
196	4540.357751
197	4514.577097
198	4488.929888
199	4463.73732
200	4442.62955
201	4417.023323
202	4404.108141
203	4381.583092
204	4351.852096
205	4330.80023
206	4314.944841
207	4293.361336
208	4273.527048
209	4256.589031
210	4237.717157
211	4222.966196
212	4200.621489
213	4181.49718
214	4167.387389
215	4149.351014
216	4133.841268
217	4118.415313
218	4097.695435
219	4078.973034
220	4058.535402
221	4038.414228
222	4018.879997
223	4000.131403
224	3973.937407
225	3952.240379
226	3931.463772
227	3918.138693
228	3899.201953
229	3880.556793
230	3861.311106
231	3837.323802
232	3825.34537
233	3807.211413
234	3789.802062
235	3777.14019
236	3753.007967
237	3740.781922
238	3721.453206
239	3699.037134
240	3687.312522
241	3664.577761
242	3651.660993
243	3639.737032
244	3627.998894
245	3609.753661
246	3592.85188
247	3581.341454
248	3570.009361
249	3549.202258
250	3530.300012
251	3519.384281
252	3508.442218
253	3497.668489
254	3487.060189
255	3476.589274
256	3466.225269
257	3452.716479
258	3436.131925
259	3418.437646
260	3408.266416
261	3394.344808
262	3384.366735
263	3374.540336
264	3360.157806
265	3350.50577
266	3340.999976
267	3329.61394
268	3317.600675
269	3308.236337
270	3293.30231
271	3284.083364
272	3270.096746
273	3261.037414
274	3253.024768
275	3239.40765
276	3230.596349
277	3216.419991
278	3207.744534
279	3193.928826
280	3186.181138
281	3173.889206
282	3165.441458
283	3152.108915
284	3138.332272
285	3130.013206
286	3122.456116
287	3114.346103
288	3100.848737
289	3092.858403
290	3084.986665
291	3072.52932
292	3064.776414
293	3057.138358
294	3050.061246
295	3037.091002
296	3030.153251
297	3023.311043
298	3016.020814
299	3005.958309
300	2993.617146
301	2986.997859
302	2974.605885
303	2962.345976
304	2952.762501
305	2940.641532
306	2928.962123
307	2917.021304
308	2910.082602
309	2898.265408
310	2886.900365
311	2875.406208
312	2864.034871
313	2855.015717
314	2843.774297
315	2832.484219
316	2826.241358
317	2814.442997
318	2808.263199
319	2794.526386
320	2787.928029
321	2776.383112
322	2770.373754
323	2759.316305
324	2748.380996
325	2742.478549
326	2734.019073
327	2723.379727
328	2715.162432
329	2704.643135
330	2696.660582
331	2686.259779
332	2676.105594
333	2665.926687
334	2655.157218
335	2649.463766
336	2641.781847
337	2629.999037
338	2620.122037
339	2614.552122
340	2604.793924
341	2594.084181
342	2583.609673
343	2578.084415
344	2572.650627
345	2567.271706
346	2561.981535
347	2552.425072
348	2542.336224
349	2537.106469
350	2529.983475
351	2520.621586
352	2515.494954
353	2505.368337
354	2500.299105
355	2489.567643
356	2484.572959
357	2477.803588
358	2468.685311
359	2459.668168
360	2450.212015
361	2445.304167
362	2435.923386
363	2427.055434
364	2418.286137
365	2409.089635
366	2400.385885
367	2394.036918
368	2385.431746
369	2376.922532
370	2368.508341
371	2359.676827
372	2351.010534
373	2346.273035
374	2341.597755
375	2332.682295
376	2326.694111
377	2318.496058
378	2313.950713
379	2305.84699
380	2298.26716
381	2290.227928
382	2282.279019
383	2274.09316
384	2269.566485
385	2263.165248
386	2255.80493
387	2251.357425
388	2243.563204
389	2239.180038
390	2232.995392
391	2225.308055
392	2217.707504
393	2212.198625
394	2204.684693
395	2198.723838
396	2191.307122
397	2185.500032
398	2178.178944
399	2170.940897
400	2165.294285
401	2158.149352
402	2149.586439
403	2144.096033
404	2137.092518
405	2131.265668
406	2125.598538
407	2120.086459
408	2115.793335
409	2111.555986
410	2106.188746
411	2100.967592
412	2096.779274
413	2091.696647
414	2087.559509
415	2082.611093
416	2077.796363
417	2073.705891
418	2068.453383
419	2063.83597
420	2059.789432
421	2051.212826
422	2047.219007
423	2038.649504
424	2033.297268
425	2029.368999
426	2024.902104
427	2021.021331
428	2012.795693
429	2007.679505
430	2003.861248
431	1995.947878
432	1991.02416
433	1987.26629
434	1980.249741
435	1976.548151
436	1968.958374
437	1961.820768
438	1958.165983
439	1952.276507
440	1948.68712
441	1945.144901
442	1940.29326
443	1936.788881
444	1933.330526
445	1926.100542
446	1921.364415
447	1915.769412
448	1912.356607
449	1908.988636
450	1904.356229
451	1901.023996
452	1897.735532
453	1892.353258
454	1889.123729
455	1882.263317
456	1877.747034
457	1874.543979
458	1870.118152
459	1866.948957
460	1863.821429
461	1859.47579
462	1856.381197
463	1849.907155
464	1843.519028
465	1838.433694
466	1835.389423
467	1830.70968
468	1826.168556
469	1820.407119
470	1817.39506
471	1813.356967
472	1810.385069
473	1804.020596
474	1798.720981
475	1793.756825
476	1789.425595
477	1785.222501
478	1781.425702
479	1778.471497
480	1772.41195
481	1768.148481
482	1765.222928
483	1761.17068
484	1757.527913
485	1750.76348
486	1747.875378
487	1743.981877
488	1740.45381
489	1734.443775
490	1731.05762
491	1724.436388
492	1721.587061
493	1715.867237
494	1709.356464
495	1702.930784
496	1698.854285
497	1696.036759
498	1689.701024
499	1686.922073
500	1683.518723
501	1680.277383
502	1674.016333
503	1671.273957
504	1667.99506
505	1665.28901
506	1661.745604
507	1658.229295
508	1654.343298
509	1651.69471
510	1647.232341
511	1643.780639
512	1640.371768
513	1636.267366
514	1629.719379
515	1624.130178
516	1620.120936
517	1614.039026
518	1611.485413
519	1605.996402
520	1600.569844
521	1596.633774
522	1594.133294
523	1588.75971
524	1586.295617
525	1580.986617
526	1577.973683
527	1572.140525
528	1569.20499
529	1566.774612
530	1561.303739
531	1555.598948
532	1553.199181
533	1550.339712
534	1544.996668
535	1539.724846
536	1537.350129
537	1532.145847
538	1526.217482
539	1523.873252
540	1520.131932
541	1515.047886
542	1510.031241
543	1507.723639
544	1502.770485
545	1498.257724
546	1492.53851
547	1488.932057
548	1483.284794
549	1481.03579
550	1476.242951
551	1472.97636
552	1470.752589
553	1465.249955
554	1460.909373
555	1457.745069
556	1452.348962
557	1449.264402
558	1447.096518
559	1443.486072
560	1438.063398
561	1434.74232
562	1430.581191
563	1428.455777
564	1423.245298
565	1420.033635
566	1414.731658
567	1410.689744
568	1405.623267
569	1401.472286
570	1399.428975
571	1397.413157
572	1392.471095
573	1388.093008
574	1382.963572
575	1378.740673
576	1373.935798
577	1369.61279
578	1366.66717
579	1361.682949
580	1357.437342
581	1355.488682
582	1351.676004
583	1346.963096
584	1343.197694
585	1338.586269
586	1333.797965
587	1331.005796
588	1326.546044
589	1322.884965
590	1319.02814
591	1316.005649
592	1311.603531
593	1306.983736
594	1302.707126
595	1300.113419
