iter	Passed	Remaining
0	1	1157
1	2	1044
2	2	985
3	3	949
4	4	944
5	5	932
6	6	923
7	7	906
8	8	891
9	9	893
10	9	887
11	10	875
12	11	870
13	12	860
14	13	854
15	13	847
16	14	847
17	15	846
18	16	851
19	17	854
20	18	853
21	19	850
22	19	848
23	20	844
24	21	840
25	22	834
26	23	840
27	24	840
28	25	840
29	25	836
30	26	834
31	27	832
32	28	830
33	29	830
34	30	829
35	30	827
36	31	825
37	32	824
38	33	824
39	34	824
40	35	824
41	36	824
42	37	824
43	37	824
44	38	823
45	39	821
46	40	820
47	41	818
48	42	815
49	42	814
50	43	814
51	44	813
52	45	812
53	46	811
54	47	810
55	48	809
56	48	808
57	49	806
58	50	804
59	51	803
60	52	803
61	53	803
62	54	803
63	54	803
64	55	802
65	56	802
66	57	800
67	58	797
68	59	797
69	59	795
70	60	793
71	61	792
72	62	791
73	63	791
74	64	790
75	64	788
76	65	786
77	66	786
78	67	785
79	68	783
80	69	783
81	69	781
82	70	780
83	71	778
84	72	778
85	73	779
86	74	778
87	75	777
88	75	775
89	76	774
90	77	772
91	78	770
92	78	769
93	79	768
94	80	766
95	81	767
96	82	767
97	83	766
98	84	767
99	85	766
100	85	765
101	86	765
102	87	763
103	88	762
104	89	762
105	90	761
106	91	760
107	91	758
108	92	757
109	93	756
110	94	756
111	95	755
112	96	753
113	96	751
114	97	751
115	98	750
116	99	749
117	100	748
118	101	747
119	101	746
120	102	746
121	103	745
122	104	745
123	105	743
124	106	742
125	106	739
126	107	739
127	108	738
128	109	737
129	110	736
130	110	736
131	111	735
132	112	735
133	113	734
134	114	733
135	115	732
136	116	731
137	117	730
138	117	729
139	118	729
140	119	728
141	120	727
142	121	727
143	122	726
144	123	725
145	123	724
146	124	724
147	125	722
148	126	721
149	127	720
150	127	719
151	128	718
152	129	716
153	130	715
154	131	714
155	131	712
156	132	711
157	133	709
158	133	708
159	134	706
160	135	705
161	136	703
162	136	702
163	137	702
164	138	702
165	139	701
166	140	698
167	140	697
168	141	696
169	142	694
170	143	693
171	143	691
172	144	691
173	145	689
174	146	688
175	146	687
176	147	687
177	148	686
178	149	684
179	150	683
180	150	682
181	151	680
182	152	679
183	152	678
184	153	676
185	154	675
186	155	675
187	156	674
188	157	674
189	158	674
190	159	674
191	160	675
192	161	674
193	162	673
194	162	672
195	163	671
196	164	671
197	165	670
198	166	670
199	167	670
200	168	669
201	169	669
202	170	668
203	171	668
204	172	667
205	173	667
206	173	666
207	174	666
208	175	665
209	176	665
210	177	665
211	178	663
212	179	663
213	180	662
214	181	661
215	181	660
216	183	660
217	183	659
218	184	658
219	185	658
220	186	657
221	187	656
222	187	654
223	188	653
224	189	652
225	190	651
226	191	650
227	192	650
228	192	649
229	193	648
230	194	648
231	195	647
232	196	646
233	197	645
234	197	644
235	198	643
236	199	642
237	200	641
238	201	641
239	202	640
240	203	640
241	204	639
242	204	638
243	205	637
244	206	636
245	207	635
246	208	634
247	209	633
248	209	632
249	210	631
250	211	631
251	212	630
252	213	629
253	214	628
254	214	627
255	215	626
256	216	625
257	217	624
258	217	622
259	218	621
260	219	620
261	220	619
262	220	619
263	221	617
264	222	616
265	223	615
266	223	614
267	224	613
268	225	611
269	225	610
270	226	610
271	227	609
272	228	607
273	228	606
274	229	605
275	230	604
276	231	603
277	232	603
278	232	601
279	233	600
280	234	599
281	235	598
282	235	597
283	236	596
284	237	594
285	237	593
286	238	592
287	239	591
288	240	590
289	241	590
290	241	589
291	242	588
292	243	588
293	244	587
294	245	586
295	246	586
296	247	585
297	248	584
298	249	583
299	249	583
300	250	582
301	251	581
302	252	580
303	253	579
304	254	578
305	254	578
306	255	577
307	256	576
308	257	575
309	258	574
310	259	574
311	260	573
312	261	572
313	261	572
314	262	571
315	263	570
316	264	570
317	265	569
318	266	568
319	267	567
320	268	567
321	268	566
322	269	565
323	270	564
324	271	563
325	272	563
326	273	562
327	274	561
328	274	560
329	275	559
330	276	558
331	277	558
332	278	557
333	279	556
334	279	555
335	280	554
336	281	554
337	282	553
338	283	552
339	283	551
340	284	550
341	285	549
342	286	549
343	287	548
344	288	547
345	289	546
346	289	545
347	290	544
348	291	543
349	292	542
350	293	541
351	293	541
352	294	540
353	295	539
354	296	538
355	297	537
356	297	536
357	298	536
358	299	535
359	300	533
360	301	532
361	301	531
362	302	530
363	303	529
364	303	528
365	304	528
366	305	527
367	306	526
368	307	525
369	307	524
370	308	523
371	309	522
372	310	521
373	310	520
374	311	519
375	312	518
376	312	517
377	313	516
378	314	515
379	315	514
380	316	513
381	317	513
382	317	512
383	318	511
384	319	510
385	320	509
386	321	508
387	321	507
388	322	507
389	323	506
390	324	505
391	325	504
392	326	504
393	327	503
394	327	502
395	328	501
396	329	500
397	330	499
398	331	498
399	332	498
400	332	497
401	333	496
402	334	495
403	335	495
404	336	494
405	337	493
406	337	492
407	338	491
408	339	490
409	340	489
410	341	488
411	341	488
412	342	487
413	343	486
414	344	485
415	345	485
416	346	484
417	347	483
418	348	483
419	349	482
420	350	481
421	351	480
422	352	480
423	353	479
424	354	479
425	354	478
426	355	477
427	356	476
428	357	475
429	358	475
430	359	474
431	360	473
432	361	472
433	361	472
434	362	471
435	363	470
436	364	470
437	365	469
438	366	468
439	367	467
440	368	467
441	369	466
442	370	465
443	371	464
444	371	463
445	372	463
446	373	462
447	374	461
448	375	460
449	376	459
450	376	458
451	377	457
452	378	457
453	379	456
454	380	455
455	381	454
456	382	454
457	382	453
458	383	452
459	384	451
460	385	450
461	386	449
462	386	448
463	387	447
464	388	446
465	389	446
466	390	445
467	391	444
468	392	443
469	393	443
470	393	442
471	394	441
472	395	440
473	396	439
474	397	439
475	397	438
476	398	437
477	399	436
478	400	436
479	401	435
480	402	434
481	403	433
482	404	432
483	404	431
484	405	430
485	406	429
486	407	428
487	407	427
488	408	426
489	409	426
490	410	425
491	410	424
