iter	Passed	Remaining
0	0	286
1	0	249
2	0	219
3	0	201
4	0	190
5	1	179
6	1	172
7	1	168
8	1	163
9	1	162
10	1	160
11	1	156
12	1	150
13	2	147
14	2	150
15	2	147
16	2	146
17	2	146
18	2	145
19	2	146
20	3	146
21	3	146
22	3	145
23	3	144
24	3	144
25	3	145
26	4	145
27	4	145
28	4	148
29	4	148
30	4	147
31	4	146
32	5	148
33	5	149
34	5	150
35	5	150
36	5	149
37	5	149
38	6	149
39	6	148
40	6	148
41	6	148
42	6	149
43	6	149
44	7	148
45	7	148
46	7	148
47	7	147
48	7	145
49	7	145
50	7	144
51	7	143
52	8	144
53	8	143
54	8	142
55	8	142
56	8	141
57	8	141
58	8	141
59	9	143
60	9	142
61	9	141
62	9	142
63	9	142
64	9	142
65	10	143
66	10	144
67	10	144
68	10	144
69	10	144
70	11	144
71	11	145
72	11	146
73	11	148
74	12	148
75	12	147
76	12	148
77	12	148
78	12	147
79	12	147
80	12	146
81	13	145
82	13	146
83	13	146
84	13	146
85	13	146
86	13	146
87	14	146
88	14	146
89	14	146
90	14	146
91	14	146
92	14	146
93	15	146
94	15	145
95	15	145
96	15	145
97	15	145
98	15	145
99	16	145
100	16	144
101	16	144
102	16	145
103	16	145
104	17	145
105	17	145
106	17	144
107	17	145
108	17	146
109	18	145
110	18	146
111	18	146
112	18	146
113	18	147
114	19	147
115	19	147
116	19	146
117	19	146
118	19	146
119	19	146
120	20	146
121	20	146
122	20	146
123	20	146
124	20	146
125	21	146
126	21	145
127	21	145
128	21	144
129	21	145
130	21	145
131	22	145
132	22	145
133	22	144
134	22	144
135	22	144
136	22	144
137	23	143
138	23	143
139	23	143
140	23	143
141	23	143
142	23	143
143	24	143
144	24	142
145	24	143
146	24	143
147	24	142
148	24	142
149	25	142
150	25	141
151	25	141
152	25	141
153	25	141
154	25	141
155	25	140
156	26	140
157	26	139
158	26	139
159	26	139
160	26	139
161	26	139
162	27	139
163	27	139
164	27	138
165	27	138
166	27	138
167	27	138
168	28	137
169	28	137
170	28	137
171	28	136
172	28	136
173	28	136
174	28	136
175	29	135
176	29	135
177	29	135
178	29	135
179	29	134
180	29	134
181	29	134
182	30	134
183	30	134
184	30	133
185	30	133
186	30	133
187	30	133
188	30	132
189	31	132
190	31	132
191	31	132
192	31	132
193	31	132
194	31	131
195	32	131
196	32	131
197	32	131
198	32	131
199	32	131
200	33	131
201	33	131
202	33	131
203	33	131
204	33	130
205	33	130
206	34	130
207	34	130
208	34	130
209	34	129
210	34	129
211	34	129
212	35	129
213	35	129
214	35	129
215	35	129
216	35	128
217	35	128
218	36	128
219	36	128
220	36	128
221	36	128
222	36	128
223	36	128
224	37	127
225	37	127
226	37	127
227	37	127
228	37	127
229	37	126
230	38	126
231	38	126
232	38	126
233	38	126
234	38	126
235	38	126
236	39	125
237	39	125
238	39	125
239	39	125
240	39	125
241	39	124
242	40	124
243	40	124
244	40	124
245	40	124
246	40	124
247	41	124
248	41	124
249	41	124
250	41	123
251	41	123
252	41	123
253	42	123
254	42	123
255	42	123
256	42	123
257	42	123
258	43	123
259	43	123
260	43	122
261	43	122
262	43	122
263	43	122
264	44	122
265	44	122
266	44	122
267	44	122
268	45	122
269	45	122
270	45	122
271	45	121
272	45	121
273	45	121
274	46	121
275	46	121
276	46	121
277	46	121
278	46	120
279	46	120
280	47	120
281	47	120
282	47	120
283	47	120
284	47	119
285	47	119
286	48	119
287	48	119
288	48	119
289	48	119
290	48	118
291	48	118
292	49	118
293	49	118
294	49	118
295	49	118
296	49	117
297	50	117
298	50	117
299	50	117
300	50	117
301	50	117
302	50	117
303	51	117
304	51	116
305	51	116
306	51	116
307	51	116
308	52	116
309	52	116
310	52	116
311	52	116
312	52	116
313	53	116
314	53	115
315	53	115
316	53	115
317	53	115
318	54	115
319	54	115
320	54	114
321	54	114
322	54	114
323	54	114
324	55	114
325	55	113
326	55	113
